y,x,swe,cell_id
38.23456049943262,-119.88163483662396,-9999.0,37_cell_-119.88203255014501_38.23401501394914
38.23456049943262,-119.88063483662394,-9999.0,37_cell_-119.8811342348609_38.23401501394914
38.23456049943262,-119.87963483662396,-9999.0,37_cell_-119.88023591957676_38.23401501394914
38.23456049943262,-119.87863483662396,-9999.0,37_cell_-119.87933760429264_38.23401501394914
38.23456049943262,-119.87763483662394,-9999.0,37_cell_-119.87843928900851_38.23401501394914
38.23456049943262,-119.87663483662396,-9999.0,37_cell_-119.87664265844029_38.23401501394914
38.23456049943262,-119.87563483662396,-9999.0,37_cell_-119.87574434315617_38.23401501394914
38.23456049943262,-119.87463483662395,-9999.0,37_cell_-119.87484602787204_38.23401501394914
38.23456049943262,-119.87363483662396,-9999.0,37_cell_-119.87394771258792_38.23401501394914
38.23456049943262,-119.87263483662394,-9999.0,37_cell_-119.87304939730382_38.23401501394914
38.23456049943262,-119.87163483662395,-9999.0,37_cell_-119.8721510820197_38.23401501394914
38.23456049943262,-119.87063483662396,-9999.0,37_cell_-119.87125276673557_38.23401501394914
38.23456049943262,-119.86963483662394,-9999.0,37_cell_-119.87035445145145_38.23401501394914
38.23456049943262,-119.86863483662395,-9999.0,37_cell_-119.86945613616732_38.23401501394914
38.23456049943262,-119.86763483662396,-9999.0,37_cell_-119.8676595055991_38.23401501394914
38.23456049943262,-119.86663483662394,-9999.0,37_cell_-119.86676119031497_38.23401501394914
38.23456049943262,-119.86563483662395,-9999.0,37_cell_-119.86586287503084_38.23401501394914
38.23456049943262,-119.86463483662396,-9999.0,37_cell_-119.86496455974672_38.23401501394914
38.23456049943262,-119.86363483662394,-9999.0,37_cell_-119.86406624446262_38.23401501394914
38.23456049943262,-119.86263483662395,-9999.0,37_cell_-119.86316792917849_38.23401501394914
38.23456049943262,-119.86163483662396,-9999.0,37_cell_-119.86226961389437_38.23401501394914
38.23456049943262,-119.86063483662394,-9999.0,37_cell_-119.86137129861025_38.23401501394914
38.23456049943262,-119.85963483662395,-9999.0,37_cell_-119.86047298332615_38.23401501394914
38.23456049943262,-119.85863483662396,-9999.0,37_cell_-119.8586763527579_38.23401501394914
38.23456049943262,-119.85763483662394,-9999.0,37_cell_-119.85777803747376_38.23401501394914
38.23456049943262,-119.85663483662395,-9999.0,37_cell_-119.85687972218965_38.23401501394914
38.23456049943262,-119.85563483662396,-9999.0,37_cell_-119.85598140690554_38.23401501394914
38.23456049943262,-119.85463483662394,-9999.0,37_cell_-119.85508309162142_38.23401501394914
38.23456049943262,-119.85363483662395,-9999.0,37_cell_-119.85418477633729_38.23401501394914
38.23456049943262,-119.85263483662396,-9999.0,37_cell_-119.85328646105317_38.23401501394914
38.23456049943262,-119.85163483662394,-9999.0,37_cell_-119.85238814576904_38.23401501394914
38.23456049943262,-119.85063483662395,-9999.0,37_cell_-119.85148983048495_38.23401501394914
38.23456049943262,-119.84963483662396,-9999.0,37_cell_-119.8496931999167_38.23401501394914
38.23456049943262,-119.84863483662394,-9999.0,37_cell_-119.84879488463257_38.23401501394914
38.23456049943262,-119.84763483662395,-9999.0,37_cell_-119.84789656934845_38.23401501394914
38.23456049943262,-119.84663483662396,-9999.0,37_cell_-119.84699825406435_38.23401501394914
38.23456049943262,-119.84563483662394,-9999.0,37_cell_-119.84609993878023_38.23401501394914
38.23456049943262,-119.84463483662395,-9999.0,37_cell_-119.8452016234961_38.23401501394914
38.23456049943262,-119.84363483662396,-9999.0,37_cell_-119.84430330821198_38.23401501394914
38.23456049943262,-119.84263483662394,-9999.0,37_cell_-119.84340499292787_38.23401501394914
38.23456049943262,-119.84163483662395,-9999.0,37_cell_-119.84250667764375_38.23401501394914
38.23456049943262,-119.84063483662396,-9999.0,37_cell_-119.8407100470755_38.23401501394914
38.23456049943262,-119.83963483662394,-9999.0,37_cell_-119.83981173179137_38.23401501394914
38.23456049943262,-119.83863483662395,-9999.0,37_cell_-119.83891341650728_38.23401501394914
38.23456049943262,-119.83763483662396,-9999.0,37_cell_-119.83801510122315_38.23401501394914
38.23456049943262,-119.83663483662394,-9999.0,37_cell_-119.83711678593903_38.23401501394914
38.23456049943262,-119.83563483662395,-9999.0,37_cell_-119.8362184706549_38.23401501394914
38.23456049943262,-119.83463483662396,-9999.0,37_cell_-119.83532015537078_38.23401501394914
38.23456049943262,-119.83363483662394,-9999.0,37_cell_-119.83442184008668_38.23401501394914
38.23456049943262,-119.83263483662397,-9999.0,37_cell_-119.83352352480256_38.23401501394914
38.23456049943262,-119.83163483662396,-9999.0,37_cell_-119.83172689423431_38.23401501394914
38.23456049943262,-119.83063483662394,-9999.0,37_cell_-119.83082857895018_38.23401501394914
38.23456049943262,-119.82963483662397,-9999.0,37_cell_-119.82993026366609_38.23401501394914
